Component,Sub-component,Variable,Measure,Country,ISO Code,Year,val
Context,Demographic ,Total population,Numbers,Maldives,MDV,2002,291616.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2002,395969.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2002,1204621.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2002,18958338.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2002,1889970.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2002,10082.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2002,3948500.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2002,133471989.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2002,163222549.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2002,5924003.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2002,8400180.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2002,46020.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2002,161641.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2002,113347.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2002,184471.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2002,83723.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2002,4971435.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2002,4175950.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2002,457671.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2002,48019415.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2002,19805752.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2002,5413274.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2002,103874.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2002,1332011.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2002,9623.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2002,25532870.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2002,59370479.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2002,36121304.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2002,195863.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2002,10647949.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2003,77884.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2003,19720737.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2003,335618.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2003,140970351.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2003,265776.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2003,263780.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2003,1775736.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2003,346637.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2003,16160340.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2003,31642461.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2003,999590.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2003,68531.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2003,1066700.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2003,866286.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2003,1382350.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2003,1577611.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2003,21296705.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2003,108884.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2003,763101.0
Context,Demographic ,Total population,Numbers,India,IND,2003,1116803006.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2003,2656623.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2003,33652223.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2003,94175.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2003,1985059.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2003,12181574.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2003,24679602.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2003,296491.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2003,398582.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2003,1213370.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2003,19392475.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2003,1917464.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2003,10059.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2003,4027200.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2003,137202644.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2003,167110248.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2003,6123997.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2003,8586875.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2003,46176.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2003,162976.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2003,113141.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2003,185430.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2003,82781.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2003,5177687.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2003,4114826.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2003,466154.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2003,48500348.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2003,19951521.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2003,5552167.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2003,104464.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2003,1338709.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2003,9695.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2003,26352124.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2003,59647577.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2003,37089555.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2003,200746.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2003,10983595.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2004,78719.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2004,19932722.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2004,339782.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2004,142902856.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2004,267298.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2004,271688.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2004,1807146.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2004,352911.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2004,16610487.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2004,31938807.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2004,1017875.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2004,68649.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2004,1073159.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2004,874366.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2004,1421609.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2004,1621312.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2004,21868298.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2004,109323.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2004,762418.0
Context,Demographic ,Total population,Numbers,India,IND,2004,1135991513.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2004,2672225.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2004,34713455.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2004,96085.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2004,1971129.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2004,12500737.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2004,25256772.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2004,301413.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2004,401268.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2004,1221003.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2004,19840313.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2004,1942082.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2004,10060.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2004,4087500.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2004,141057045.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2004,171286000.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2004,6328041.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2004,8816844.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2004,46315.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2004,164239.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2004,112835.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2004,186249.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2004,82475.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2004,5355717.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2004,4166664.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2004,474611.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2004,48991421.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2004,20087605.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2004,5696508.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2004,105071.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2004,1345380.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2004,9816.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2004,27154515.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2004,59987905.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2004,38109668.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2004,205711.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2004,11338198.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2005,79611.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2005,20176844.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2005,343894.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2005,144715786.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2005,268706.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2005,279731.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2005,1839877.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2005,358916.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2005,17074594.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2005,32242732.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2005,1036151.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2005,68734.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2005,1079022.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2005,882379.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2005,1463495.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2005,1667037.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2005,22449438.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2005,109734.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2005,760914.0
Context,Demographic ,Total population,Numbers,India,IND,2005,1154676322.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2005,2687066.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2005,35796484.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2005,98035.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2005,1953076.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2005,12840031.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2005,25836071.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2005,306429.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2005,403834.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2005,1228254.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2005,20304569.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2005,1966582.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2005,10049.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2005,4133900.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2005,145017253.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2005,175453212.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2005,6535905.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2005,9054528.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2005,46437.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2005,165450.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2005,112450.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2005,186978.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2005,82858.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2005,5501712.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2005,4265762.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2005,483080.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2005,49490033.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2005,20216524.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2005,5844631.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2005,105671.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2005,1294494.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2005,9940.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2005,27963289.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2005,60401206.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2005,39182076.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2005,210760.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2005,11718819.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2006,80604.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2006,20450966.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2006,348375.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2006,146405973.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2006,270002.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2006,287878.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2006,1874516.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2006,364663.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2006,17550407.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2006,32571193.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2006,1054418.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2006,68806.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2006,1084436.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2006,890365.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2006,1508337.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2006,1715275.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2006,23040702.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2006,110135.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2006,758966.0
Context,Demographic ,Total population,Numbers,India,IND,2006,1172878890.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2006,2700968.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2006,36904008.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2006,100017.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2006,1945063.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2006,13198701.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2006,26417909.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2006,313851.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2006,405308.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2006,1233996.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2006,20787087.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2006,1991888.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2006,10034.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2006,4184600.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2006,149077334.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2006,179682690.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2006,6747720.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2006,9299246.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2006,46569.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2006,166639.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2006,112014.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2006,187709.0
