,Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
55,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,SLE
56,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,SGP
57,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,ZAF
58,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,SWZ
59,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,TGO
60,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,TON
61,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,TTO
62,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,TUV
63,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,UGA
64,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,GBR
65,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,TZA
66,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,WSM
67,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,ZMB
68,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,892836
72,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,591487
73,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,47130
75,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,44434
76,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,33811
77,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,472945
78,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,192687
79,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,99328
80,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,34
81,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,24561
82,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,82
83,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,39785
84,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,113
85,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,378
86,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,53
87,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,104
88,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,169
89,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,5466
90,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,40804
91,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,7005
92,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,795
93,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,31
94,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,291
95,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,302
96,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,545
97,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,7796
98,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,46
99,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,55
100,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,126
101,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,350424
102,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,1110
103,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,13285
104,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,553
105,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,5809
106,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,11953
107,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,85
108,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,432
109,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,600
110,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,8224
111,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,559
112,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,1
113,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,22
114,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,4093
115,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,39666
116,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,40061
117,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,1752
118,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,3079
119,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,15
120,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,45
121,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,54
122,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,23
123,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,2415
124,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,5504
125,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,27304
126,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,364
127,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,1708
128,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,41
129,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,539
130,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,3
131,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,11002
132,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,97822
133,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,18133
134,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,75
135,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,3352
136,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.240596910505577
140,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.0538974916576056
141,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.266588235294118
143,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.619975283675992
144,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.523270177478247
145,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0650927965480804
146,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.0961166256532198
147,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.557135640823584
148,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.577319587628866
149,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.596085900408524
150,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.609239653512993
151,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.030627154469238
152,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.635249764373233
153,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.116004296455424
154,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,0.268041237113402
155,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
156,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0.469733656174334
157,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0023467822005596
158,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,0.617909169501248
159,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,0.0545454545454546
160,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,0.608712715855573
161,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0.506756756756757
162,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,0.0656753407682775
163,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,0.166229221347332
164,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,0.0
165,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,0.003404213330702
166,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0.0
167,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0.523076923076923
168,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0.563876651982379
169,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,0.0413618639159198
170,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,0.542518127883981
171,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,0.0112128246682143
172,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,0.0026123301985371
173,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,0.0002178411937697
174,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,0.440723187642619
175,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,0.228723404255319
176,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,0.556485355648536
177,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,0.412568306010929
178,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,0.0004048255202008
179,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,0.128792987188132
180,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0.0
181,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0.0
182,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,0.616448644927083
183,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,0.0113322663458543
184,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,0.0390994460208079
185,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,0.0014884644008931
186,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,0.0002919708029197
187,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0.567901234567901
188,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,0.529411764705882
189,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.512562814070352
190,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,0.424242424242424
191,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,0.0
192,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,0.471949651485417
193,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,0.125739667945393
194,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0037641154328732
195,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0002476473501733
196,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,0.0256410256410257
197,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.634146341463415
198,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,0.0
199,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0005907546891152
200,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.555792020698908
201,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.00062075387109
202,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,0.0173611111111112
203,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0415600243753809
204,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,1552716
208,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,916527
209,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,101112
211,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,125266
212,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,92406
213,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,788820
214,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,265253
215,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,242492
216,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,125
217,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,70988
218,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,369
219,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,48488
220,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,431
221,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,716
222,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,134
223,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,158
224,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,395
225,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,8252
226,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,115215
227,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,12109
228,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,2409
229,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,93
230,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,791
231,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,592
232,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,567
233,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,10525
234,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,80
235,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,161
236,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,400
237,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,594897
238,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,3270
239,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,19620
240,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,719
241,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,6447
242,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,26338
243,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,186
244,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,1060
245,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,1397
246,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,9379
247,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,1360
248,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,3
249,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,28
250,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,12930
251,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,60614
252,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,58817
253,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,2361
254,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,3385
255,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,61
256,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,142
257,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,152
258,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,66
259,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,2713
260,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,12704
261,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,60751
262,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,523
263,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,1830
264,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,79
265,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,1999
266,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,6
267,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,13027
268,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,237824
269,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,22698
270,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,135
271,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,5482
272,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,114818
276,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,91346
277,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,3707
279,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,2204
280,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,1842
281,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,83567
282,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,14855
283,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,9274
284,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0
285,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,1304
286,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,2
287,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,11825
288,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0
289,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,65
290,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,0
291,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0
292,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0
293,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,44
294,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,2058
295,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,1643
296,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,7
297,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0
298,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,11
299,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,3
300,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,6
301,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,45
302,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0
303,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0
304,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0
305,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,57194
306,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,33
307,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,2266
308,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,41
309,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,1170
310,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,311
311,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,0
312,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,10
313,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,28
314,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,1008
315,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,23
316,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0
317,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0
318,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,244
319,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,170
320,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,6820
321,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,94
322,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,56
323,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0
